video_id,total_examples,valid_answers,invalid_answers,empty_answers,correct_answers,overall_accuracy,valid_only_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
Video51,192,192,0,0,157,0.8177083333333334,0.8177083333333334,0.8536585365853658,0.7526881720430108,0.8,0.7909090909090909,0.8787878787878788,0.8325358851674641,70,23,12,87
Video52,192,192,0,0,144,0.75,0.75,0.7640449438202247,0.7157894736842105,0.7391304347826086,0.7378640776699029,0.7835051546391752,0.7600000000000001,68,27,21,76
Video53,192,192,0,0,152,0.7916666666666666,0.7916666666666666,0.7920792079207921,0.8080808080808081,0.7999999999999999,0.7912087912087912,0.7741935483870968,0.7826086956521738,80,19,21,72
Video54,192,192,0,0,151,0.7864583333333334,0.7864583333333334,0.8181818181818182,0.7,0.7544910179640719,0.7652173913043478,0.8627450980392157,0.8110599078341014,63,27,14,88
Video55,192,192,0,0,158,0.8229166666666666,0.8229166666666666,0.8260869565217391,0.8085106382978723,0.8172043010752688,0.82,0.8367346938775511,0.8282828282828283,76,18,16,82
Video56,192,192,0,0,162,0.84375,0.84375,0.922077922077922,0.7473684210526316,0.8255813953488372,0.7913043478260869,0.9381443298969072,0.8584905660377358,71,24,6,91
Video57,192,192,0,0,169,0.8802083333333334,0.8802083333333334,0.8863636363636364,0.8571428571428571,0.8715083798882681,0.875,0.900990099009901,0.8878048780487806,78,13,10,91
Video58,192,192,0,0,159,0.828125,0.828125,0.8021978021978022,0.8295454545454546,0.8156424581005587,0.8514851485148515,0.8269230769230769,0.8390243902439023,73,15,18,86
Video59,192,192,0,0,156,0.8125,0.8125,0.9120879120879121,0.7477477477477478,0.8217821782178218,0.7227722772277227,0.9012345679012346,0.8021978021978022,83,28,8,73
Video60,192,192,0,0,154,0.8020833333333334,0.8020833333333334,0.8191489361702128,0.7857142857142857,0.8020833333333333,0.7857142857142857,0.8191489361702128,0.8020833333333333,77,21,17,77
Video61,192,192,0,0,160,0.8333333333333334,0.8333333333333334,0.8775510204081632,0.8113207547169812,0.8431372549019608,0.7872340425531915,0.8604651162790697,0.8222222222222222,86,20,12,74
Video62,192,192,0,0,150,0.78125,0.78125,0.7948717948717948,0.7045454545454546,0.746987951807229,0.7719298245614035,0.8461538461538461,0.8073394495412844,62,26,16,88
Video63,192,192,0,0,144,0.75,0.75,0.7654320987654321,0.6813186813186813,0.7209302325581395,0.7387387387387387,0.8118811881188119,0.7735849056603774,62,29,19,82
Video64,192,192,0,0,154,0.8020833333333334,0.8020833333333334,0.8352941176470589,0.7473684210526316,0.7888888888888889,0.7757009345794392,0.8556701030927835,0.8137254901960783,71,24,14,83
Video65,192,192,0,0,164,0.8541666666666666,0.8541666666666666,0.8395061728395061,0.8192771084337349,0.8292682926829269,0.8648648648648649,0.8807339449541285,0.8727272727272727,68,15,13,96
Video66,192,192,0,0,155,0.8072916666666666,0.8072916666666666,0.8313253012048193,0.75,0.7885714285714285,0.7889908256880734,0.86,0.8229665071770336,69,23,14,86
Video67,192,192,0,0,155,0.8072916666666666,0.8072916666666666,0.8279569892473119,0.7857142857142857,0.806282722513089,0.7878787878787878,0.8297872340425532,0.8082901554404145,77,21,16,78
Video68,192,192,0,0,160,0.8333333333333334,0.8333333333333334,0.8974358974358975,0.7446808510638298,0.813953488372093,0.7894736842105263,0.9183673469387755,0.8490566037735849,70,24,8,90
Video69,192,192,0,0,165,0.859375,0.859375,0.8589743589743589,0.8072289156626506,0.8322981366459627,0.8596491228070176,0.8990825688073395,0.8789237668161435,67,16,11,98
Video70,192,192,0,0,156,0.8125,0.8125,0.8433734939759037,0.7526881720430108,0.7954545454545455,0.7889908256880734,0.8686868686868687,0.8269230769230771,70,23,13,86
Video71,192,192,0,0,157,0.8177083333333334,0.8177083333333334,0.8586956521739131,0.7821782178217822,0.8186528497409327,0.78,0.8571428571428571,0.8167539267015708,79,22,13,78
Video72,192,192,0,0,160,0.8333333333333334,0.8333333333333334,0.8613861386138614,0.8285714285714286,0.8446601941747574,0.8021978021978022,0.8390804597701149,0.8202247191011236,87,18,14,73
Video73,192,192,0,0,148,0.7708333333333334,0.7708333333333334,0.7631578947368421,0.6904761904761905,0.725,0.7758620689655172,0.8333333333333334,0.8035714285714286,58,26,18,90
Video74,192,192,0,0,142,0.7395833333333334,0.7395833333333334,0.7951807228915663,0.6666666666666666,0.7252747252747251,0.6972477064220184,0.8172043010752689,0.7524752475247526,66,33,17,76
Video75,192,192,0,0,161,0.8385416666666666,0.8385416666666666,0.8863636363636364,0.7878787878787878,0.8342245989304813,0.7980769230769231,0.8924731182795699,0.8426395939086294,78,21,10,83
Video76,192,192,0,0,153,0.796875,0.796875,0.8295454545454546,0.7525773195876289,0.7891891891891891,0.7692307692307693,0.8421052631578947,0.8040201005025126,73,24,15,80
Video77,192,192,0,0,164,0.8541666666666666,0.8541666666666666,0.8547008547008547,0.9009009009009009,0.8771929824561403,0.8533333333333334,0.7901234567901234,0.8205128205128205,100,11,17,64
Video78,192,192,0,0,163,0.8489583333333334,0.8489583333333334,0.9012345679012346,0.776595744680851,0.8342857142857142,0.8108108108108109,0.9183673469387755,0.861244019138756,73,21,8,90
Video79,192,192,0,0,147,0.765625,0.765625,0.7441860465116279,0.735632183908046,0.7398843930635838,0.7830188679245284,0.7904761904761904,0.7867298578199052,64,23,22,83
Video80,192,192,0,0,151,0.7864583333333334,0.7864583333333334,0.8227848101265823,0.7065217391304348,0.7602339181286549,0.7610619469026548,0.86,0.8075117370892019,65,27,14,86
Video81,192,192,0,0,137,0.7135416666666666,0.7135416666666666,0.7164179104477612,0.5714285714285714,0.6357615894039734,0.712,0.8240740740740741,0.7639484978540771,48,36,19,89
Video82,192,192,0,0,162,0.84375,0.84375,0.872093023255814,0.7978723404255319,0.8333333333333334,0.8207547169811321,0.8877551020408163,0.8529411764705883,75,19,11,87
Video83,192,192,0,0,164,0.8541666666666666,0.8541666666666666,0.9213483146067416,0.7961165048543689,0.8541666666666666,0.7961165048543689,0.9213483146067416,0.8541666666666666,82,21,7,82
Video84,192,192,0,0,147,0.765625,0.765625,0.8690476190476191,0.6822429906542056,0.7643979057591622,0.6851851851851852,0.8705882352941177,0.766839378238342,73,34,11,74
Video85,192,192,0,0,160,0.8333333333333334,0.8333333333333334,0.8556701030927835,0.8217821782178217,0.8383838383838383,0.8105263157894737,0.8461538461538461,0.8279569892473119,83,18,14,77
Video86,192,192,0,0,170,0.8854166666666666,0.8854166666666666,0.8865979381443299,0.8865979381443299,0.8865979381443299,0.8842105263157894,0.8842105263157894,0.8842105263157894,86,11,11,84
Video87,192,192,0,0,152,0.7916666666666666,0.7916666666666666,0.8080808080808081,0.7920792079207921,0.7999999999999999,0.7741935483870968,0.7912087912087912,0.7826086956521738,80,21,19,72
