video_id,n_samples,valid_free_predictions,invalid_free_predictions,empty_raw_outputs,free_output_accuracy,free_output_valid_accuracy,score_based_accuracy,free_label_0_precision,free_label_0_recall,free_label_0_f1,free_label_1_precision,free_label_1_recall,free_label_1_f1,score_label_0_precision,score_label_0_recall,score_label_0_f1,score_label_1_precision,score_label_1_recall,score_label_1_f1,avg_choice_0_score,avg_choice_1_score,avg_confidence,avg_score_gap,free_vs_score_agreement_rate,free_actual_0_pred_0,free_actual_0_pred_1,free_actual_1_pred_0,free_actual_1_pred_1,score_actual_0_pred_0,score_actual_0_pred_1,score_actual_1_pred_0,score_actual_1_pred_1
Video52,192,192,0,0,0.6770833333333334,0.6770833333333334,0.5,0.6633663366336634,0.7052631578947368,0.6836734693877551,0.6923076923076923,0.6494845360824743,0.6702127659574467,0.4915254237288136,0.30526315789473685,0.37662337662337664,0.5037593984962406,0.6907216494845361,0.5826086956521739,0.36287937752107763,0.6371206297723498,0.7747037094086409,0.5494074115238542,0.625,67,28,34,63,29,66,30,67
Video53,192,192,0,0,0.71875,0.71875,0.5520833333333334,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7096774193548387,0.7096774193548387,0.7096774193548389,0.6181818181818182,0.3434343434343434,0.44155844155844154,0.5255474452554745,0.7741935483870968,0.6260869565217392,0.3466420305041235,0.6533579748872095,0.7875715484842658,0.5751430915771986,0.6041666666666666,72,27,27,66,34,65,21,72
Video54,192,192,0,0,0.734375,0.734375,0.625,0.693069306930693,0.7777777777777778,0.7329842931937172,0.7802197802197802,0.696078431372549,0.7357512953367875,0.6125,0.5444444444444444,0.5764705882352941,0.6339285714285714,0.696078431372549,0.6635514018691588,0.4271050787551,0.5728949298239362,0.7696790363018712,0.5393580640247061,0.6927083333333334,70,20,31,71,49,41,31,71
Video55,192,192,0,0,0.7395833333333334,0.7395833333333334,0.5416666666666666,0.7037037037037037,0.8085106382978723,0.7524752475247524,0.7857142857142857,0.673469387755102,0.7252747252747253,0.5454545454545454,0.3829787234042553,0.44999999999999996,0.5396825396825397,0.6938775510204082,0.6071428571428572,0.40532646049867554,0.594673547881636,0.7730799823378524,0.546159956295393,0.625,76,18,32,66,36,58,30,68
Video56,192,192,0,0,0.609375,0.609375,0.59375,0.5892857142857143,0.6947368421052632,0.6376811594202899,0.6375,0.5257731958762887,0.5762711864406779,0.6349206349206349,0.42105263157894735,0.5063291139240507,0.5736434108527132,0.7628865979381443,0.654867256637168,0.3889822213140898,0.6110177818118245,0.7654943841819962,0.530988765238078,0.640625,66,29,46,51,40,55,23,74
Video57,192,192,0,0,0.7708333333333334,0.7708333333333334,0.5677083333333334,0.7238095238095238,0.8351648351648352,0.7755102040816326,0.8275862068965517,0.7128712871287128,0.7659574468085106,0.5645161290322581,0.38461538461538464,0.45751633986928103,0.5692307692307692,0.7326732673267327,0.6406926406926406,0.3869325416922796,0.6130674699864661,0.7676803184052309,0.535360625131716,0.609375,76,15,29,72,35,56,27,74
Video58,192,192,0,0,0.71875,0.71875,0.6302083333333334,0.6931818181818182,0.6931818181818182,0.6931818181818182,0.7403846153846154,0.7403846153846154,0.7403846153846154,0.639344262295082,0.4431818181818182,0.5234899328859062,0.6259541984732825,0.7884615384615384,0.6978723404255319,0.3720828248062465,0.6279171779266713,0.7837174780045947,0.5674349532762714,0.7135416666666666,61,27,27,77,39,49,22,82
Video59,192,192,0,0,0.6927083333333334,0.6927083333333334,0.5729166666666666,0.7203389830508474,0.7657657657657657,0.74235807860262,0.6486486486486487,0.5925925925925926,0.6193548387096774,0.6933333333333334,0.46846846846846846,0.5591397849462365,0.49572649572649574,0.7160493827160493,0.5858585858585859,0.4281243284081029,0.5718756810492778,0.7661654508362213,0.5323308922150621,0.6614583333333334,85,26,33,48,52,59,23,58
Video60,192,192,0,0,0.6770833333333334,0.6770833333333334,0.5885416666666666,0.6730769230769231,0.7142857142857143,0.6930693069306932,0.6818181818181818,0.6382978723404256,0.6593406593406593,0.6376811594202898,0.4489795918367347,0.5269461077844311,0.5609756097560976,0.7340425531914894,0.6359447004608295,0.4027698323966433,0.5972301730168207,0.7693029648313919,0.5386059242493199,0.6614583333333334,70,28,34,60,44,54,25,69
Video61,192,192,0,0,0.671875,0.671875,0.5989583333333334,0.6747967479674797,0.7830188679245284,0.7248908296943231,0.6666666666666666,0.5348837209302325,0.5935483870967742,0.6933333333333334,0.49056603773584906,0.5745856353591161,0.5384615384615384,0.7325581395348837,0.6206896551724138,0.38136292052776827,0.6186370901802244,0.7545648431405425,0.5091296755730923,0.625,83,23,40,46,52,54,23,63
