video_id,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,Accuracy,Accuracy_valid_only,Support_0,Predicted_as_0,Precision_0,Recall_0,F1_0,Support_1,Predicted_as_1,Precision_1,Recall_1,F1_1,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
Video54,192,192,0,0,0.8177083333333334,0.8177083333333334,90,107,0.7570093457943925,0.9,0.8223350253807106,102,85,0.8941176470588236,0.7450980392156863,0.8128342245989305,81,9,26,76
Video55,192,192,0,0,0.78125,0.78125,94,126,0.7063492063492064,0.9468085106382979,0.8090909090909091,98,66,0.9242424242424242,0.6224489795918368,0.7439024390243902,89,5,37,61
Video56,192,192,0,0,0.78125,0.78125,95,123,0.7154471544715447,0.9263157894736842,0.8073394495412844,97,69,0.8985507246376812,0.6391752577319587,0.7469879518072289,88,7,35,62
Video57,192,192,0,0,0.7708333333333334,0.7708333333333334,91,127,0.6850393700787402,0.9560439560439561,0.798165137614679,101,65,0.9384615384615385,0.6039603960396039,0.7349397590361446,87,4,40,61
Video58,192,192,0,0,0.703125,0.703125,88,137,0.6131386861313869,0.9545454545454546,0.7466666666666667,104,55,0.9272727272727272,0.49038461538461536,0.6415094339622641,84,4,53,51
Video59,192,192,0,0,0.7864583333333334,0.7864583333333334,111,136,0.7573529411764706,0.9279279279279279,0.834008097165992,81,56,0.8571428571428571,0.5925925925925926,0.7007299270072992,103,8,33,48
Video60,192,192,0,0,0.765625,0.765625,98,127,0.7086614173228346,0.9183673469387755,0.8,94,65,0.8769230769230769,0.6063829787234043,0.7169811320754718,90,8,37,57
Video61,192,192,0,0,0.75,0.75,106,128,0.7265625,0.8773584905660378,0.7948717948717949,86,64,0.796875,0.5930232558139535,0.6799999999999999,93,13,35,51
Video62,192,192,0,0,0.7239583333333334,0.7239583333333334,88,123,0.6422764227642277,0.8977272727272727,0.7488151658767773,104,69,0.8695652173913043,0.5769230769230769,0.6936416184971097,79,9,44,60
Video63,192,192,0,0,0.6302083333333334,0.6302083333333334,91,142,0.5704225352112676,0.8901098901098901,0.6952789699570815,101,50,0.8,0.39603960396039606,0.5298013245033113,81,10,61,40
Video64,192,192,0,0,0.703125,0.703125,95,138,0.6376811594202898,0.9263157894736842,0.7553648068669527,97,54,0.8703703703703703,0.4845360824742268,0.6225165562913907,88,7,50,47
Video65,192,192,0,0,0.8333333333333334,0.8333333333333334,83,101,0.7524752475247525,0.9156626506024096,0.826086956521739,109,91,0.9230769230769231,0.7706422018348624,0.84,76,7,25,84
Video66,192,192,0,0,0.71875,0.71875,92,116,0.6637931034482759,0.8369565217391305,0.7403846153846154,100,76,0.8026315789473685,0.61,0.6931818181818182,77,15,39,61
Video67,192,192,0,0,0.75,0.75,98,134,0.6865671641791045,0.9387755102040817,0.7931034482758622,94,58,0.896551724137931,0.5531914893617021,0.6842105263157894,92,6,42,52
Video68,192,192,0,0,0.8020833333333334,0.8020833333333334,94,126,0.7222222222222222,0.9680851063829787,0.8272727272727272,98,66,0.9545454545454546,0.6428571428571429,0.7682926829268294,91,3,35,63
Video69,192,192,0,0,0.7708333333333334,0.7708333333333334,83,109,0.6788990825688074,0.891566265060241,0.7708333333333334,109,83,0.891566265060241,0.6788990825688074,0.7708333333333334,74,9,35,74
Video70,192,192,0,0,0.6875,0.6875,93,137,0.6204379562043796,0.9139784946236559,0.7391304347826085,99,55,0.8545454545454545,0.47474747474747475,0.6103896103896105,85,8,52,47
Video71,192,192,0,0,0.6770833333333334,0.6770833333333334,101,153,0.6274509803921569,0.9504950495049505,0.7559055118110235,91,39,0.8717948717948718,0.37362637362637363,0.5230769230769231,96,5,57,34
Video72,192,192,0,0,0.7760416666666666,0.7760416666666666,105,134,0.7313432835820896,0.9333333333333333,0.8200836820083682,87,58,0.8793103448275862,0.5862068965517241,0.7034482758620689,98,7,36,51
Video73,192,192,0,0,0.640625,0.640625,84,135,0.5555555555555556,0.8928571428571429,0.684931506849315,108,57,0.8421052631578947,0.4444444444444444,0.5818181818181818,75,9,60,48
Video74,192,192,0,0,0.7864583333333334,0.7864583333333334,99,124,0.7338709677419355,0.9191919191919192,0.8161434977578476,93,68,0.8823529411764706,0.6451612903225806,0.7453416149068324,91,8,33,60
Video75,192,192,0,0,0.8229166666666666,0.8229166666666666,99,119,0.773109243697479,0.9292929292929293,0.8440366972477064,93,73,0.9041095890410958,0.7096774193548387,0.7951807228915663,92,7,27,66
Video76,192,192,0,0,0.7135416666666666,0.7135416666666666,97,118,0.6779661016949152,0.8247422680412371,0.7441860465116279,95,74,0.7702702702702703,0.6,0.6745562130177515,80,17,38,57
Video77,192,192,0,0,0.8177083333333334,0.8177083333333334,111,132,0.7878787878787878,0.9369369369369369,0.8559670781893004,81,60,0.8833333333333333,0.654320987654321,0.75177304964539,104,7,28,53
Video78,192,192,0,0,0.75,0.75,94,132,0.6742424242424242,0.9468085106382979,0.7876106194690264,98,60,0.9166666666666666,0.5612244897959183,0.6962025316455696,89,5,43,55
Video79,192,192,0,0,0.671875,0.671875,87,134,0.5895522388059702,0.9080459770114943,0.7149321266968326,105,58,0.8620689655172413,0.47619047619047616,0.6134969325153374,79,8,55,50
Video80,192,192,0,0,0.6666666666666666,0.6666666666666666,92,128,0.609375,0.8478260869565217,0.709090909090909,100,64,0.78125,0.5,0.6097560975609756,78,14,50,50
Video81,192,192,0,0,0.640625,0.640625,84,129,0.5581395348837209,0.8571428571428571,0.676056338028169,108,63,0.8095238095238095,0.4722222222222222,0.5964912280701755,72,12,57,51
Video82,192,192,0,0,0.796875,0.796875,94,105,0.7619047619047619,0.851063829787234,0.8040201005025126,98,87,0.8390804597701149,0.7448979591836735,0.7891891891891891,80,14,25,73
Video83,192,192,0,0,0.8072916666666666,0.8072916666666666,103,118,0.7796610169491526,0.8932038834951457,0.8325791855203619,89,74,0.8513513513513513,0.7078651685393258,0.7730061349693251,92,11,26,63
Video84,192,192,0,0,0.8072916666666666,0.8072916666666666,107,112,0.8125,0.8504672897196262,0.8310502283105022,85,80,0.8,0.7529411764705882,0.7757575757575759,91,16,21,64
Video85,192,192,0,0,0.765625,0.765625,101,134,0.7089552238805971,0.9405940594059405,0.8085106382978723,91,58,0.896551724137931,0.5714285714285714,0.6979865771812079,95,6,39,52
Video86,192,192,0,0,0.7916666666666666,0.7916666666666666,97,121,0.7355371900826446,0.9175257731958762,0.81651376146789,95,71,0.8873239436619719,0.6631578947368421,0.7590361445783133,89,8,32,63
Video87,192,192,0,0,0.8020833333333334,0.8020833333333334,101,127,0.7480314960629921,0.9405940594059405,0.8333333333333334,91,65,0.9076923076923077,0.6483516483516484,0.7564102564102564,95,6,32,59
Video88,192,192,0,0,0.7916666666666666,0.7916666666666666,103,133,0.7368421052631579,0.9514563106796117,0.8305084745762712,89,59,0.9152542372881356,0.6067415730337079,0.7297297297297298,98,5,35,54
Video89,192,192,0,0,0.7916666666666666,0.7916666666666666,100,124,0.7419354838709677,0.92,0.8214285714285714,92,68,0.8823529411764706,0.6521739130434783,0.75,92,8,32,60
Video90,192,192,0,0,0.7083333333333334,0.7083333333333334,105,129,0.689922480620155,0.8476190476190476,0.7606837606837608,87,63,0.746031746031746,0.5402298850574713,0.6266666666666666,89,16,40,47
Video91,192,192,0,0,0.7604166666666666,0.7604166666666666,106,140,0.7142857142857143,0.9433962264150944,0.8130081300813008,86,52,0.8846153846153846,0.5348837209302325,0.6666666666666665,100,6,40,46
Video92,192,192,0,0,0.75,0.75,103,119,0.7310924369747899,0.8446601941747572,0.7837837837837838,89,73,0.7808219178082192,0.6404494382022472,0.7037037037037037,87,16,32,57
Video93,192,192,0,0,0.7708333333333334,0.7708333333333334,104,126,0.7380952380952381,0.8942307692307693,0.8086956521739131,88,66,0.8333333333333334,0.625,0.7142857142857143,93,11,33,55
Video94,192,192,0,0,0.7395833333333334,0.7395833333333334,96,120,0.6916666666666667,0.8645833333333334,0.7685185185185186,96,72,0.8194444444444444,0.6145833333333334,0.7023809523809524,83,13,37,59
Video95,192,192,0,0,0.8333333333333334,0.8333333333333334,94,114,0.7719298245614035,0.9361702127659575,0.8461538461538461,98,78,0.9230769230769231,0.7346938775510204,0.8181818181818182,88,6,26,72
Video96,192,192,0,0,0.8125,0.8125,94,112,0.7589285714285714,0.9042553191489362,0.8252427184466019,98,80,0.8875,0.7244897959183674,0.797752808988764,85,9,27,71
Video97,192,192,0,0,0.8489583333333334,0.8489583333333334,90,99,0.8080808080808081,0.8888888888888888,0.8465608465608466,102,93,0.8924731182795699,0.8137254901960784,0.8512820512820513,80,10,19,83
Video98,192,192,0,0,0.7760416666666666,0.7760416666666666,101,112,0.7589285714285714,0.8415841584158416,0.7981220657276994,91,80,0.8,0.7032967032967034,0.7485380116959066,85,16,27,64
Video99,192,192,0,0,0.8020833333333334,0.8020833333333334,90,110,0.7363636363636363,0.9,0.81,102,82,0.8902439024390244,0.7156862745098039,0.7934782608695653,81,9,29,73
Video100,192,192,0,0,0.6614583333333334,0.6614583333333334,98,139,0.6187050359712231,0.8775510204081632,0.7257383966244726,94,53,0.7735849056603774,0.43617021276595747,0.5578231292517007,86,12,53,41
